Year,Movie_num
1894,1
1896,1
1897,2
1898,7
1899,9
1900,6
1901,7
1902,4
1903,4
1904,2
1905,19
1906,24
1907,17
1908,21
1909,88
1910,104
1911,168
1912,346
1913,689
1914,1197
1915,1643
1916,2140
1917,2222
1918,2270
1919,2500
1920,2693
1921,2667
1922,2226
1923,1978
1924,1991
1925,2170
1926,2134
1927,2256
1928,2250
1929,2179
1930,2094
1931,2193
1932,2189
1933,2088
1934,2001
1935,2039
1936,2315
1937,2214
1938,2058
1939,1934
1940,1821
1941,1573
1942,1502
1943,1362
1944,1203
1945,1156
1946,1347
1947,1557
1948,1689
1949,1833
1950,2079
1951,2005
1952,2194
1953,2281
1954,2353
1955,2446
1956,2668
1957,2743
1958,2682
1959,2680
1960,2810
1961,2843
1962,2812
1963,2750
1964,2983
1965,3306
1966,3333
1967,3421
1968,3838
1969,3975
1970,4272
1971,4320
1972,4231
1973,4135
1974,3994
1975,4252
1976,4130
1977,4043
1978,4178
1979,4337
1980,4263
1981,4258
1982,4282
1983,4411
1984,4573
1985,4665
1986,4589
1987,4647
1988,4774
1989,4770
1990,5045
1991,4587
1992,4503
1993,4323
1994,4304
1995,4534
1996,4531
1997,4876
1998,5108
1999,5236
2000,5424
2001,5829
2002,6021
2003,6292
2004,6876
2005,7892
2006,8445
2007,9163
2008,10756
2009,12372
2010,13202
2011,14341
2012,15832
2013,17809
2014,19996
2015,20628
2016,21549
2017,20990
2018,20209
2019,19910
2020,16943
2021,19297
2022,20700
2023,19465
2024,6099
